,collisions,test_cases_costs,div_scores_norm
0,1,1,0.1142566207
1,1,1,0.1080618855
2,0,1,0.2402309038
3,1,1,0.0853740974
4,0,1,0.2402309038
5,0,1,0.3613531399
6,1,1,0.3302808045
7,1,1,0.3133610804
8,1,1,0.5930849807
9,1,1,0.1560027579
10,0,1,0.8401814998
11,0,1,0.6462331919
12,0,1,0.6751157153
13,1,1,0.0266907875
14,1,1,0.7581507652
15,1,1,0.2828544599
16,1,1,0.8188802279
17,0,1,0.167404832
18,1,1,0.1860186259
19,1,1,0.1860186259
20,0,1,0.4524510278
21,1,1,0.5962155403
22,1,1,0.5721300393
23,1,1,0.1560027579
24,1,1,0.1560027579
25,0,1,0.3580723901
26,1,1,0.0715118456
27,0,1,0.1802333677
28,0,1,0.4524510278
29,1,1,0.0875658333
30,1,1,0.2793224053
31,0,1,0.2562848915
32,0,1,0.2865605445
33,0,1,0.3613531399
34,0,1,0.4363970402
35,0,1,0.6175168123
36,1,1,0.1860186259
37,1,1,0.2828544599
38,1,1,0.3158705589
39,1,1,0.1080618855
40,1,1,0.5354860777
41,1,1,0.5247036947
42,1,1,0.5770309931
43,1,1,0.1560027579
44,0,1,0.2274023681
45,0,1,0.1962873554
46,1,1,0.0715118456
47,1,1,0.3499111203
48,1,1,0.2526316178
49,0,1,0.421350676
50,1,1,0.7581507652
51,1,1,0.2793224053
52,0,1,0.1802333677
53,1,1,0.3302808045
54,1,1,0.3133610804
55,1,1,0.4463790447
56,0,1,0.3613531399
57,1,1,0.3499111203
58,1,1,0.5721300393
59,1,1,0.0853740974
60,1,1,0.3872208683
61,1,1,0.1742541569
62,1,1,0.1560027579
63,1,1,0.2828544599
64,1,1,0.5577197937
65,1,1,0.8060516921
66,1,1,0.1560027579
67,1,1,0.1860186259
68,1,1,0.1860186259
69,1,1,0.1860186259
70,1,1,0.0982026331
71,1,1,0.0982026331
72,0,1,0.4235685044
73,1,1,0.3302808045
74,1,1,0.3302808045
75,1,1,0.3499111203
76,1,1,0.1860186259
77,1,1,0.5770309931
78,1,1,0.7473683822
79,1,1,0.3302808045
80,0,1,0.421350676
81,1,1,0.2632131198
82,0,1,0.3741263777
83,1,1,0.2793224053
84,1,1,0.2920956431
85,1,1,0.2760416555
86,1,1,0.0586833099
87,0,1,0.1802333677
88,1,1,0.1080618855
89,1,1,0.4944808526
90,1,1,0.3543663055
91,1,1,0.3704202932
92,1,1,0.1560027579
93,1,1,0.5721300393
94,1,1,0.3400518679
95,1,1,0.0586833099
96,0,1,0.1407140445
97,0,1,0.1695965679
98,0,1,0.6175168123
99,1,1,0.5577197937
100,1,1,0.7581507652
101,1,1,0.1582001692
102,1,1,0.1142566207
103,1,1,0.1860186259
104,1,1,0.1080618855
105,1,1,0.1080618855
106,0,1,0.3613531399
107,1,1,0.3400518679
108,0,1,0.2562848915
109,1,1,0.0715118456
110,0,1,0.6751157153
111,1,1,0.3158705589
112,1,1,0.3005325447
113,1,1,0.0586833099
114,1,1,0.3158705589
115,0,1,0.3452438544
116,1,1,0.1080618855
117,1,1,0.0866883236
118,1,1,0.0715118456
119,1,1,0.2793224053
120,1,1,0.1860186259
121,0,1,0.1687190582
122,1,1,0.1860186259
123,1,1,0.3158705589
124,1,1,0.0875658333
125,1,1,0.3158705589
126,1,1,0.3158705589
127,1,1,0.1560027579
128,1,1,0.1560027579
129,1,1,0.0266907875
130,0,1,0.0820307346
131,1,1,0.3158705589
132,0,1,0.0820307346
133,1,1,0.1560027579
134,1,1,0.4944808526
135,1,1,0.0
136,0,1,0.6751157153
137,1,1,0.5050623546
138,1,1,0.3499111203
139,1,1,0.5833870046
140,0,1,0.6751157153
141,1,1,0.5055191474
142,1,1,0.1080618855
143,1,1,0.3393199414
144,1,1,0.3158705589
145,1,1,0.400049404
146,0,1,0.6590617277
147,1,1,0.7581507652
148,1,1,0.1080618855
149,0,1,0.3648851945
150,1,1,0.3158705589
151,1,1,0.1080618855
152,1,1,0.5354860777
153,1,1,0.1560027579
154,1,1,0.1860186259
155,1,1,0.1560027579
156,1,1,0.1560027579
157,1,1,0.2760416555
158,1,1,0.1080618855
159,1,1,0.1142566207
160,1,1,0.3543663055
161,0,1,0.2402309038
162,1,1,0.6990106624
163,1,1,0.3158705589
164,1,1,0.1860186259
165,1,1,0.1582001692
166,1,1,0.1142566207
167,1,1,0.3158705589
168,1,1,0.0982026331
169,1,1,0.1080618855
170,1,1,0.1453716335
171,0,1,0.6590617277
172,1,1,0.1860186259
173,1,1,0.1080618855
174,0,1,0.0820307346
175,1,1,0.3158705589
176,1,1,0.1080618855
177,1,1,0.7473683822
178,1,1,0.4571614276
179,0,1,0.1087215221
180,1,1,0.1560027579
181,1,1,0.3158705589
182,1,1,0.1860186259
183,1,1,0.1860186259
184,1,1,0.1080618855
185,1,1,0.3302808045
186,1,1,0.5577197937
187,1,1,0.5721300393
188,0,1,0.1802333677
189,0,1,0.1802333677
190,0,1,0.3648851945
191,1,1,0.3285375584
192,1,1,0.1560027579
193,1,1,0.3302808045
194,1,1,0.1560027579
195,0,1,0.4524510278
196,1,1,0.3158705589
197,0,1,0.421350676
198,1,1,0.5055191474
199,1,1,0.1860186259
200,1,1,0.0
201,1,1,0.5930849807
202,1,1,0.2828544599
203,1,1,0.1860186259
204,1,1,0.3272233322
205,1,1,0.3499111203
206,1,1,0.1080618855
207,0,1,0.1687190582
208,0,1,0.6175168123
209,0,1,0.2865605445
210,0,1,0.421350676
211,1,1,0.3302808045
212,0,1,0.3346623524
213,0,1,0.1695965679
214,0,1,0.4235685044
215,0,1,0.167404832
216,1,1,0.3302808045
217,1,1,0.1080618855
218,1,1,0.2526316178
219,0,1,0.3580723901
220,0,1,0.1407140445
221,1,1,0.5642024573
222,0,1,0.6175168123
223,1,1,0.1080618855
224,1,1,0.3499111203
225,1,1,0.3499111203
226,1,1,0.1860186259
227,1,1,0.0
228,1,1,0.3158705589
229,1,1,0.0266907875
230,0,1,0.4235685044
231,1,1,0.5354860777
232,0,1,0.1535425802
233,1,1,0.5577197937
234,1,1,0.0866883236
235,1,1,0.3272233322
236,0,1,0.3580723901
237,1,1,0.3158705589
238,1,1,0.1860186259
239,1,1,0.5930849807
240,0,1,0.1802333677
241,1,1,0.3393199414
242,0,1,0.1962873554
243,0,1,0.1687190582
244,1,1,0.5721300393
245,1,1,0.3302808045
246,1,1,0.3158705589
247,1,1,0.0
248,1,1,0.1860186259
249,0,1,0.1087215221
250,1,1,0.1080618855
251,1,1,0.0982026331
252,1,1,0.1860186259
253,1,1,0.0853740974
254,1,1,0.3400518679
255,1,1,0.3158705589
256,1,1,0.3302808045
257,0,1,0.1802333677
258,1,1,0.1860186259
259,1,1,0.5354860777
260,1,1,0.3302808045
261,0,1,0.3613531399
262,1,1,0.5721300393
263,1,1,0.5770309931
264,0,1,0.4363970402
265,1,1,0.3158705589
266,0,1,0.3452438544
267,1,1,0.8060516921
268,1,1,0.5833870046
269,0,1,0.6751157153
270,1,1,0.5962155403
271,1,1,0.5930849807
272,1,1,0.3272233322
273,1,1,0.0586833099
274,0,1,0.6590617277
275,0,1,0.3346623524
276,0,1,0.6751157153
277,0,1,0.6175168123
278,1,1,0.2760416555
279,0,1,0.3648851945
280,1,1,0.4571614276
281,1,1,0.3872208683
282,0,1,0.167404832
283,0,1,0.167404832
284,1,1,0.1560027579
285,0,1,0.1695965679
286,1,1,0.0266907875
287,1,1,0.5833870046
288,1,1,0.2760416555
289,0,1,0.4235685044
290,1,1,0.5770309931
291,0,1,0.1802333677
292,0,1,0.1687190582
293,0,1,0.8401814998
294,0,1,0.167404832
295,1,1,0.2760416555
296,0,1,0.2865605445
297,1,1,1.0
298,0,1,0.4363970402
299,0,1,0.2274023681
300,0,1,0.0820307346
301,0,1,0.2865605445
302,1,1,0.0853740974
303,0,1,0.3648851945
304,0,1,0.1535425802
305,1,1,0.1742541569
306,0,1,0.2274023681
307,1,1,0.8060516921
308,0,1,0.6590617277
309,0,1,0.1087215221
310,1,1,0.5930849807
311,1,1,0.5247036947
312,0,1,0.6751157153
313,0,1,0.6590617277
314,1,1,0.3393199414
315,1,1,0.5811691761
316,0,1,0.3452438544
317,0,1,0.0820307346
318,0,1,0.3648851945
319,0,1,0.4524510278
320,0,1,0.2865605445
321,0,1,0.4524510278
322,1,1,0.2045298099
323,1,1,0.1860186259
324,1,1,0.4571614276
325,1,1,0.3872208683
326,0,1,0.5875498821
327,0,1,0.1087215221
328,1,1,0.1142566207
329,1,1,0.5770309931
330,0,1,0.1087215221
331,0,1,0.4235685044
332,1,1,0.7581507652
333,0,1,0.2274023681
334,1,1,0.2760416555
335,1,1,0.4571614276
336,1,1,0.8349342155
337,1,1,0.2760416555
338,1,1,0.2526316178
339,1,1,0.5721300393
340,1,1,0.3704202932
341,0,1,0.3648851945
342,1,1,0.3158705589
343,0,1,0.6462331919
344,1,1,0.0982026331
345,1,1,0.3302808045
346,0,1,0.4363970402
347,1,1,0.3158705589
348,0,1,0.1802333677
349,0,1,0.3346623524
350,1,1,0.5642024573
351,0,1,0.3741263777
352,1,1,0.3393199414
353,1,1,0.3415377698
354,0,1,0.1962873554
355,1,1,0.400049404
356,1,1,0.1860186259
357,1,1,0.5642024573
358,0,1,0.4524510278
359,0,1,0.421350676
360,0,1,0.8401814998
361,0,1,0.5875498821
362,0,1,0.0820307346
363,1,1,0.1582001692
364,1,1,0.3133610804
365,0,1,0.6175168123
366,0,1,0.1962873554
367,1,1,0.1142566207
368,1,1,0.2793224053
369,0,1,0.5875498821
370,0,1,0.3346623524
371,1,1,0.2760416555
372,1,1,0.0
373,1,1,0.5354860777
374,1,1,0.5930849807
375,1,1,0.3543663055
376,1,1,0.3393199414
377,0,1,0.0820307346
378,1,1,0.1860186259
379,0,1,0.4363970402
380,0,1,0.4235685044
381,0,1,0.1407140445
382,1,1,0.0266907875
383,0,1,0.5875498821
384,1,1,0.3415377698
385,0,1,0.167404832
386,1,1,0.1142566207
387,0,1,0.1535425802
388,0,1,0.3346623524
389,0,1,0.6590617277
390,1,1,0.4571614276
391,1,1,0.7581507652
392,1,1,0.0586833099
393,0,1,0.4524510278
394,0,1,0.0820307346
395,0,1,0.0820307346
396,0,1,0.4235685044
397,1,1,0.3272233322
398,0,1,0.3346623524
399,0,1,0.1535425802
400,0,1,0.1687190582
401,1,1,0.2793224053
402,1,1,0.1453716335
403,1,1,0.3393199414
404,1,1,0.2920956431
405,0,1,0.2402309038
406,0,1,0.2274023681
407,0,1,0.167404832
408,1,1,0.7581507652
409,1,1,0.2045298099
410,1,1,0.5354860777
411,1,1,0.1582001692
412,1,1,0.2045298099
413,1,1,0.2920956431
414,0,1,0.8401814998
415,0,1,0.2562848915
416,1,1,0.3704202932
417,0,1,0.2562848915
418,0,1,0.3346623524
419,1,1,0.3704202932
420,1,1,0.5050623546
421,0,1,0.3346623524
422,1,1,0.5178908903
423,1,1,0.7581507652
424,0,1,0.3741263777
425,1,1,0.1453716335
426,1,1,0.8188802279
427,0,1,0.6175168123
428,0,1,0.3452438544
429,0,1,0.3741263777
430,1,1,0.0853740974
431,1,1,0.4944808526
